SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,c_frac,cstock
TL47-22-01 67.5-80,TL47 22-01,97.5,110,12.5,103.75,0.497547641,1.47,0.115,12.81,0.47,0.04,0.36,443320.1748,7206177.654,0.0147,0.91424379
TL47-22-02-0-20cm,TL47-22-02,0,20,20,10,0.228,32.91,1.722,19.11,0.79,0.23,0.97,443327.4946,7206662.419,0.3291,15.00696
TL47 -22-02-20-40cm,TL47-22-02,20,40,20,30,0.5505,3.75,0.225,16.65,0.79,0.23,0.97,443327.4946,7206662.419,0.0375,4.12875
TL47-22-02 0-13.5,TL47-22-02,40,53.5,13.5,46.75,1.51758406,3.27,0.222,14.72,0.79,0.23,0.97,443327.4946,7206662.419,0.0327,6.699374833
TL47-22-02 13.5-33.5,TL47-22-02,53.5,72.5,19,63,2.253454216,4.74,0.323,14.67,0.79,0.23,0.97,443327.4946,7206662.419,0.0474,20.29460867
TL47 22-03-0-15cm,TL47 22-03,0,15,15,7.5,0.303,27.48,1.125,24.42,0.79,0.23,0.97,443327.8756,7206682.477,0.2748,12.48966
TL47-22-03-15-50cm,TL47 22-03,15,50,35,32.5,1.059564324,1,0.077,13.01,0.47,0.06,0.4,443327.8756,7206682.477,0.01,3.708475134
TL47-22-03-0-9,TL47 22-03,50,59,9,54.5,2.858017835,4.07,0.254,20.51,0.41,0.06,0.26,443327.8756,7206682.477,0.0407,10.46891933
TL47-22-03 9-24,TL47 22-03,59,74,15,66.5,2.671787709,2.66,0.166,15.98,0.47,0.04,0.36,443327.8756,7206682.477,0.0266,10.66043296
TL47-22-03 24-40,TL47 22-03,74,90,16,82,1.975683785,3.3,0.218,15.12,0.47,0.04,0.36,443327.8756,7206682.477,0.033,10.43161038
TL47-22-03 59-77,TL47 22-03,109,127,18,118,0.755847985,11.26,0.699,16.1,0.47,0.04,0.36,443327.8756,7206682.477,0.1126,15.31952696
TL47-22-03 77-93,TL47 22-03,127,143,16,135,1.536163267,5.87,0.4,14.69,0.79,0.23,0.97,443327.8756,7206682.477,0.0587,14.4276454
TL47-22-03 93-111cm,TL47 22-03,143,161,18,152,1.764660487,5.53,0.331,16.68,0.41,0.06,0.26,443327.8756,7206682.477,0.0553,17.56543049
TL47-22-05 0-15cm,TL47-22-05,0,15,15,7.5,0.27475,8.64,0.59,16.35,0.79,0.23,0.97,442931.557,7206297.648,0.0964,3.972885
TL47-22-05-15-35cm,TL47-22-05,15,35,20,25,0.401166667,6.01,0.416,16.85,0.79,0.23,0.97,442931.557,7206297.648,0.0701,5.624356671
TL47-22-05 0-13.5,TL47-22-05,35,48.5,13.5,41.75,2.567856835,1.95,0.124,15.75,0.47,0.04,0.36,442931.557,7206297.648,0.0195,6.759883118
TL47-22-05 13.5-26,TL47-22-05,48.5,61,12.5,54.75,2.476116336,2.13,0.174,12.26,0.79,0.23,0.97,442931.557,7206297.648,0.0213,6.592659745
TL47-22-05 26.42.5,TL47-22-05,61,77.5,16.5,69.25,1.420539482,5.9,0.396,14.9,0.47,0.04,0.36,442931.557,7206297.648,0.059,13.82895186
TL47-22-05 42.5-57,TL47-22-05,77.5,92,14.5,84.75,1.009522433,10.1,0.606,16.68,0.47,0.04,0.36,442931.557,7206297.648,0.101,14.78445603
TL47-22-05 57-78.5,TL47-22-05,92,113.5,21.5,102.75,0.722147053,2.83,0.215,13.17,0.79,0.23,0.97,442931.557,7206297.648,0.0283,4.393903744
TL47-22-05 78.5-105,TL47-22-05,113.5,140,26.5,126.75,1.159311615,2.15,0.136,15.78,0.47,0.04,0.36,442931.557,7206297.648,0.0215,6.605177926
TL47-22-05 105-133.5,TL47-22-05,140,168.5,28.5,154.25,0.692772759,1,0.085,11.79,0.47,0.04,0.36,442931.557,7206297.648,0.01,1.974402363
TL47 PF Core 1 0-40cm,TL47 PF Core 1,0,40,40,20,0.425108995,14.311,,,,,,,,0.14311,24.33493931
TL47 PF Core 1 0-18-1,TL47 PF Core 1,40,58,18,49,2.501930534,9.51,0.58,16.51,0.84,0.05,0.34,,,0.0951,42.82804688
TL47 PF Core 1 18-28-1,TL47 PF Core 1,58,68,10,63,2.787604403,1.32,0.19,7.13,0.3,0.04,2.65,,,0.0132,3.679637812
TL47 PF Core 1 28-44-1,TL47 PF Core 1,68,84,16,76,2.502882272,1.33,0.27,5.08,0.04,0.05,0.88,,,0.0133,5.326133475
TL47 PF Core 1 44-56-1,TL47 PF Core 1,84,96,12,90,2.537715906,3,0.26,11.68,0.14,0.02,0.97,,,0.03,9.135777262
TL47 PF Core 1 56-77-1,TL47 PF Core 1,96,117,21,106.5,2.631366989,1.42,0.14,10.07,0.13,0.02,1.85,,,0.0142,7.846736361
TL47 PF Core 1 77-111-1,TL47 PF Core 1,117,151,34,134,1.098015269,4.75,0.28,17.26,0.62,0.06,2.13,,,0.0475,17.73294659
TL47-22-04-0-30cm,TL47-22-04,0,30,30,15,0.35,32.36,NA,NA,0.47,NA,NA,442836.9109,7206335.131,0.3236,33.978
TL47-22-04-30-60cm,TL47-22-04,30,60,30,45,0.73,27.88,1.287,21.67,0.41,0.06,0.26,442836.9109,7206335.131,0.2788,61.0572
TL47-22-04 0-28,TL47-22-04,60,88,28,74,2.831225576,1.48,0.124,11.91,0.79,0.23,0.97,442836.9109,7206335.131,0.0148,11.73259879
TL47-22-04 28-44.5,TL47-22-04,88,104.5,16.5,96.25,2.50448327,1.47,0.112,13.1,0.47,0.04,0.36,442836.9109,7206335.131,0.0147,6.074624171
TL47-22-04 44.5-57,TL47-22-04,104.5,117,12.5,110.75,1.021759802,0.98,0.088,11.2,0.47,0.04,0.36,442836.9109,7206335.131,0.0098,1.251655757
