SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL47 FGLB-1 0-10cm,TL47 FGLB-1,0.0,10.0,10.0,5.0,0.55,33.85,1.62,20.9,0.79,0.23,0.97,442690.453,7206747.269,5.0,0.3385,0.016200000000000003,18.617500000000003,0.8910000000000002,10.0,1.0,18.617500000000003,0.8910000000000002
TL47 FGLB-1 10-18cm,TL47 FGLB-1,10.0,18.0,8.0,14.0,0.81875,15.92,0.805,19.77,0.79,0.23,0.97,442690.453,7206747.269,14.0,0.1592,0.00805,10.427600000000002,0.5272749999999999,8.0,1.0,10.427600000000002,0.5272749999999999
TL47 FGLB-1 40-60cm,TL47 FGLB-1,40.0,60.0,20.0,50.0,1.0875,2.39,0.188,12.75,0.79,0.23,0.97,442690.453,7206747.269,50.0,0.0239,0.00188,5.19825,0.40889999999999993,10.0,0.5,2.599125,0.20444999999999997
TL47 GullyPit 1 0-10cm,TL47 GullyPit 1,0.0,10.0,10.0,5.0,0.9,2.9,0.204618119,14.19687008,0.214193506,0.026771108,0.187279883,442478,7206580.0,5.0,0.028999999999999998,0.00204618119,2.6100000000000003,0.18415630709999997,10.0,1.0,2.6100000000000003,0.18415630709999997
TL47 GullyPit 1 10-20cm,TL47 GullyPit 1,10.0,20.0,10.0,15.0,0.9937499999999999,8.64,0.52676916,16.4057468,1.07793309,0.229545868,0.429400956,442478,7206580.0,15.0,0.0864,0.0052676916,8.585999999999999,0.5234768527499999,10.0,1.0,8.585999999999999,0.5234768527499999
TL47 GullyPit 1 20-70cm,TL47 GullyPit 1,20.0,70.0,50.0,45.0,1.0875,1.19,0.116985808,10.18986731,0.214193506,0.026771108,0.187279883,442478,7206580.0,45.0,0.011899999999999999,0.0011698580799999999,6.470624999999998,0.6361103309999998,30.0,0.6,3.882374999999999,0.3816661985999999
TL47 Midslope Failure 0-20cm,TL47 Midslope Failure,0.0,20.0,20.0,10.0,0.3,10.77,0.86087487,12.50951661,1.07793309,0.229545868,0.429400956,442432,7206861.0,10.0,0.10769999999999999,0.0086087487,6.462,0.516524922,20.0,1.0,6.462,0.516524922
TL47 Midslope Failure 20-60cm,TL47 Midslope Failure,20.0,60.0,40.0,40.0,0.5625,2.32,0.187206567,12.39187233,0.214193506,0.026771108,0.187279883,442432,7206861.0,40.0,0.0232,0.00187206567,5.220000000000001,0.42121477575,30.0,0.75,3.9150000000000005,0.3159110818125
TL47 NPF-1 0-10cm,TL47 NPF-1,0.0,10.0,10.0,5.0,0.55,16.23,0.98,16.57,0.47,0.06,0.4,443032.1486,7206635.717,5.0,0.1623,0.0098,8.9265,0.539,10.0,1.0,8.9265,0.539
TL47 NPF-1 10-23cm,TL47 NPF-1,10.0,23.0,13.0,16.5,0.7291666666666666,4.98,0.372,13.4,0.47,0.06,0.4,443032.1486,7206635.717,16.5,0.049800000000000004,0.0037199999999999998,4.720625,0.35262499999999997,13.0,1.0,4.720625,0.35262499999999997
