,SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry,slope,drainagearea,curv,ndvi,pf,Name,Unnamed: 1,Probe length [m],Permafrost depth [m],MAT1 [°C],Fluxes [m3/yr],Mean displacement in top 50cm [mm]
93,bm3,TL47,7206972.069,442839.194,3.8,0.049611783,POINT (442839.194 7206972.069),19.27959,65.998276,-0.006745218,0.6729761,0,,,,,,,
94,bm4,TL47,7206643.542,442742.036,-0.4,0.037396445,POINT (442742.036 7206643.542),12.910958,92.76275,0.017555209,0.7438635,1,,,,,,,
95,bm5,TL47,7206678.41,442647.162,-0.4,0.045469902,POINT (442647.162 7206678.41),17.878618,187.60088,-0.000172523,0.74141294,1,,,,,,,
96,fglb1b,TL47,7206594.125,443052.194,-0.6,0.042946417,POINT (443052.194 7206594.125),9.839094,97.35282,-0.006558351,0.66508293,0,,,,,,,
97,fglb1f,TL47,7206546.709,443061.327,2.5,0.097857689,POINT (443061.327 7206546.709),12.081724,110.807045,0.003557491,0.6763067,0,,,,,,,
98,fglb1m,TL47,7206554.939,443057.512,-0.7,0.080773579,POINT (443057.512 7206554.939),11.790154,138.4002,0.005377172,0.66335386,1,,,,,,,
99,fglb1m,TL47,7206554.575,443057.3292,0.03125,0.080773579,POINT (443057.3292 7206554.575),11.790154,138.4002,0.005377172,0.66335386,1,,,,,,,
100,fglb1s,TL47,7206574.698,443057.969,-0.6,0.042508288,POINT (443057.969 7206574.698),11.524687,146.09787,0.007089779,0.6618732,1,,,,,,,
101,fglb2b,TL47,7206679.395,443003.973,5.4,0.031116053,POINT (443003.973 7206679.395),14.41156,265.93198,-0.000902136,0.7820342,0,,,,,,,
102,fglb2f,TL47,7206655.225,443004.145,0.0,0.038830274,POINT (443004.145 7206655.225),20.74282,185.76535,0.016534736,0.76190937,0,,,,,,,
103,fglb3m,TL47,7206979.323,442845.311,2.7,0.059478976,POINT (442845.311 7206979.323),15.892081,63.512405,0.026864804,0.67196363,0,,,,,,,
104,fglb3u,TL47,7206986.317,442837.278,3.5,0.032716117,POINT (442837.278 7206986.317),15.2407875,56.94774,0.0231517,0.6639905,0,,,,,,,
105,fglb4l,TL47,7207013.525,442844.903,4.7,0.010369337,POINT (442844.903 7207013.525),19.186033,65.20322,0.008297334,0.66925466,0,,,,,,,
106,fglb4u,TL47,7207015.401,442844.602,4.0,0.046579779,POINT (442844.602 7207015.401),18.500023,70.70337,0.026509428,0.6612196,0,,,,,,,
107,fglb5l,TL47,7206670.967,442702.894,-0.4,0.043321328,POINT (442702.894 7206670.967),14.957234,193.33276,0.001585998,0.7093612,1,,,,,,,
108,fglb5t,TL47,7206660.872,442711.998,-0.3,0.102690135,POINT (442711.998 7206660.872),14.817379,170.41728,0.027061881,0.7077969,1,,,,,,,
109,fglb6f,TL47,7206644.467,442689.742,-0.5,0.087362782,POINT (442689.742 7206644.467),18.26279,109.102264,0.008395016,0.74494237,0,,,,,,,
110,fglb6r,TL47,7206641.72,442681.521,-0.4,0.056611114,POINT (442681.521 7206641.72),16.805231,132.23894,0.019677404,0.74205995,1,,,,,,,
111,t2_12,TL47,7206638.57,443157.909,0.0,0.055597886,POINT (443157.909 7206638.57),14.747935,64.05527,0.014357035,0.682497,1,,,,,,,
112,t2_15,TL47,7206491.341,443233.72,5.0,0.026038996,POINT (443233.72 7206491.341),5.819322,318.1593,-0.009155836,0.7237339,1,,,,,,,
113,t2_16,TL47,7206352.898,443232.91,-0.5,0.03905323,POINT (443232.91 7206352.898),0.87899375,6.1064014,0.000719543,0.70578545,1,,,,,,,
114,t2_17,TL47,7206260.498,443204.093,-0.4,0.022953635,POINT (443204.093 7206260.498),2.094594,1415.0264,0.00095935,0.6593925,1,,,,,,,
115,t2_18,TL47,7206140.017,443192.024,-0.5,0.06081282,POINT (443192.024 7206140.017),2.4093814,2.0758069,0.007190083,0.6816739,1,,,,,,,
116,t2_19,TL47,7206128.114,443037.712,-0.4,0.027883153,POINT (443037.712 7206128.114),6.0944767,37.57614,0.000572343,0.68879074,1,,,,,,,
117,t2_2,TL47,7206758.19,442797.657,0.0,0.076962021,POINT (442797.657 7206758.19),11.540279,340.24185,-0.005800227,0.7745403,0,,,,,,,
118,t2_20,TL47,7206286.603,443121.312,-0.5,0.052634919,POINT (443121.312 7206286.603),3.8039165,9.864625,0.001827326,0.6839522,1,,,,,,,
119,t2_23,TL47,7206290.256,442949.523,-0.5,0.036212265,POINT (442949.523 7206290.256),8.4203415,72.09877,0.007520453,0.6869578,1,,,,,,,
120,t2_25,TL47,7206281.46,442804.081,-0.4,0.05236645,POINT (442804.081 7206281.46),10.575389,131.24887,0.004040177,0.68215656,1,,,,,,,
121,t2_26,TL47,7206440.274,442794.696,-0.1,0.085338845,POINT (442794.696 7206440.274),12.027914,150.92084,-0.003405249,0.698913,1,,,,,,,
122,t2_27,TL47,7206557.215,442741.675,-0.1,0.044604049,POINT (442741.675 7206557.215),13.036264,213.47105,-0.001434731,0.7618791,1,,,,,,,
123,t2_28,TL47,7206443.041,442624.577,-0.4,0.090437532,POINT (442624.577 7206443.041),16.900229,119.79804,0.006100135,0.67839587,1,,,,,,,
124,t2_3,TL47,7206768.92,442953.997,6.4,0.026550451,POINT (442953.997 7206768.92),15.729952,89.741974,-0.004387857,0.70923156,0,,,,,,,
125,t2_31,TL47,7206455.89,442513.363,1.5,0.060475662,POINT (442513.363 7206455.89),15.576299,118.421234,-0.014066719,0.6931316,1,,,,,,,
126,t2_32,TL47,7206522.185,442337.251,1.9,0.0846478,POINT (442337.251 7206522.185),19.742683,145.69122,0.02622021,0.7446978,1,,,,,,,
127,t2_33,TL47,7206614.732,442461.225,4.4,0.044664772,POINT (442461.225 7206614.732),16.403954,327.39178,0.005236077,0.8071862,0,,,,,,,
128,t2_4,TL47,7206931.547,442960.172,5.0,0.057964234,POINT (442960.172 7206931.547),13.610989,93.23084,0.004362346,0.72759664,0,,,,,,,
129,t2_5,TL47,7206923.452,442798.772,4.4,0.050832799,POINT (442798.772 7206923.452),14.476281,147.84662,-0.001749033,0.7125373,0,,,,,,,
130,t2_6,TL47,7206931.549,442639.377,2.8,0.026399759,POINT (442639.377 7206931.549),15.884615,251.40363,0.004715963,0.75576806,0,,,,,,,
131,t2_7,TL47,7207045.543,442510.782,-0.5,0.061281223,POINT (442510.782 7207045.543),14.728829,112.96033,0.004390439,0.7234366,0,,,,,,,
132,t2_8,TL47,7206940.284,442452.704,0.4,0.079829204,POINT (442452.704 7206940.284),16.949266,336.62448,0.016529134,0.70611596,1,,,,,,,
